time,DrinkingWaterExtractionPump_Q,DrinkingWaterExtractionPump_Q_target,DrinkingWaterExtractionPump_Q_target_violation,Inflow_Q,LowerChannel.H[1],LowerChannel.H[1]_max,LowerChannel.H[1]_min,LowerChannel.H[1]_target_violation,LowerChannel.H[2],LowerChannel.H[2]_max,LowerChannel.H[2]_min,LowerChannel.H[2]_target_violation,LowerControlStructure_Q,MiddleChannel.H[1],MiddleChannel.H[1]_max,MiddleChannel.H[1]_min,MiddleChannel.H[1]_target_violation,MiddleChannel.H[2],MiddleChannel.H[2]_max,MiddleChannel.H[2]_min,MiddleChannel.H[2]_target_violation,UpperChannel.H[1],UpperChannel.H[1]_max,UpperChannel.H[1]_min,UpperChannel.H[1]_target_violation,UpperChannel.H[2],UpperChannel.H[2]_max,UpperChannel.H[2]_min,UpperChannel.H[2]_target_violation,UpperControlStructure_Q
2013-01-01 01:00:00,0.559967,0.560000,0.000061,1.000000,0.100000,0.350000,-0.150000,nan,-0.000000,0.350000,-0.150000,nan,0.046224,0.600000,0.850000,0.350000,nan,0.500000,0.850000,0.350000,nan,1.100000,1.350000,0.850000,nan,1.000000,1.350000,0.850000,nan,1.037700
2013-01-01 02:00:00,0.490092,0.490000,0.000061,1.000000,0.094001,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,0.046219,0.670972,0.850000,0.350000,nan,0.609528,0.850000,0.350000,nan,0.927198,1.350000,0.850000,nan,1.159230,1.350000,0.850000,nan,1.037699
2013-01-01 03:00:00,0.490092,0.490000,0.000061,1.000000,0.005681,0.350000,-0.150000,nan,-0.000000,0.350000,-0.150000,nan,0.066474,0.742170,0.850000,0.350000,nan,0.715978,0.850000,0.350000,nan,1.043848,1.350000,0.850000,nan,1.024569,1.350000,0.850000,nan,1.050031
2013-01-01 04:00:00,0.560088,0.560000,0.000061,1.000000,0.000141,0.350000,-0.150000,nan,-0.000000,0.350000,-0.150000,nan,0.106990,0.814897,0.850000,0.350000,nan,0.789992,0.850000,0.350000,nan,1.045447,1.350000,0.850000,nan,0.996080,1.350000,0.850000,nan,1.074693
2013-01-01 05:00:00,0.769963,0.770000,0.000061,1.000000,0.001490,0.350000,-0.150000,nan,-0.000000,0.350000,-0.150000,nan,0.167835,0.850054,0.850000,0.350000,nan,0.817463,0.850000,0.350000,nan,1.028342,1.350000,0.850000,nan,0.972950,1.350000,0.850000,nan,1.111766
2013-01-01 06:00:00,0.980062,0.980000,0.000061,1.000000,0.003295,0.350000,-0.150000,nan,-0.000000,0.350000,-0.150000,nan,0.250639,0.843959,0.850000,0.350000,nan,0.799204,0.850000,0.350000,nan,1.001739,1.350000,0.850000,nan,0.940856,1.350000,0.850000,nan,1.163048
2013-01-01 07:00:00,1.259923,1.260000,0.000061,1.000000,0.006998,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,0.373705,0.779200,0.850000,0.350000,nan,0.710731,0.850000,0.350000,nan,0.967478,1.350000,0.850000,nan,0.900243,1.350000,0.850000,nan,1.207984
2013-01-01 08:00:00,1.329919,1.330000,0.000061,1.000000,0.013869,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,0.537054,0.683121,0.850000,0.350000,nan,0.587244,0.850000,0.350000,nan,0.925345,1.350000,0.850000,nan,0.849831,1.350000,0.850000,nan,1.257067
2013-01-01 09:00:00,1.259923,1.260000,0.000061,1.500000,0.025420,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,0.740794,0.591479,0.850000,0.350000,nan,0.459810,0.850000,0.350000,nan,0.964182,1.350000,0.850000,nan,0.849812,1.350000,0.850000,nan,1.392173
2013-01-01 10:00:00,1.119936,1.120000,0.000061,2.000000,0.043380,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,0.985688,0.565985,0.850000,0.350000,nan,0.379014,0.850000,0.350000,nan,1.032500,1.350000,0.850000,nan,0.849759,1.350000,0.850000,0.000130,1.810376
2013-01-01 11:00:00,0.980061,0.980000,0.000061,2.500000,0.069843,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,1.275886,0.598940,0.850000,0.350000,nan,0.349840,0.850000,0.350000,nan,1.116731,1.350000,0.850000,nan,0.849606,1.350000,0.850000,0.000213,2.266450
2013-01-01 12:00:00,0.910066,0.910000,0.000061,3.000000,0.108410,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,1.629511,0.670750,0.850000,0.350000,nan,0.349840,0.850000,0.350000,nan,1.211085,1.350000,0.850000,nan,0.849194,1.350000,0.850000,0.000436,2.739050
2013-01-01 13:00:00,0.910061,0.910000,0.000061,3.250000,0.152962,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,1.965280,0.739602,0.850000,0.350000,nan,0.349839,0.850000,0.350000,nan,1.278209,1.350000,0.850000,nan,0.848096,1.350000,0.850000,0.001029,3.066595
2013-01-01 14:00:00,0.910066,0.910000,0.000061,3.500000,0.198636,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,2.263376,0.802336,0.850000,0.350000,nan,0.349839,0.850000,0.350000,nan,1.335776,1.350000,0.850000,nan,0.845356,1.350000,0.850000,0.002510,3.347701
2013-01-01 15:00:00,0.980062,0.980000,0.000061,3.500000,0.213472,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,2.271777,0.850057,0.850000,0.350000,nan,0.379025,0.850000,0.350000,nan,1.355142,1.350000,0.850000,0.007910,0.838421,1.350000,0.850000,0.006259,3.465471
2013-01-01 16:00:00,1.119937,1.120000,0.000061,3.250000,0.170364,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,1.847401,0.836678,0.850000,0.350000,nan,0.436267,0.850000,0.350000,nan,1.348181,1.350000,0.850000,nan,0.903277,1.350000,0.850000,nan,3.089180
2013-01-01 17:00:00,1.259923,1.260000,0.000061,3.000000,0.118322,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,1.466846,0.798164,0.850000,0.350000,nan,0.471097,0.850000,0.350000,nan,1.350056,1.350000,0.850000,nan,1.003450,1.350000,0.850000,nan,2.716534
2013-01-01 18:00:00,1.329919,1.330000,0.000061,2.500000,0.073701,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,1.130113,0.746663,0.850000,0.350000,nan,0.484062,0.850000,0.350000,nan,1.325648,1.350000,0.850000,nan,1.080782,1.350000,0.850000,nan,2.352987
2013-01-01 19:00:00,1.259923,1.260000,0.000061,2.000000,0.040988,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,0.837204,0.701347,0.850000,0.350000,nan,0.503042,0.850000,0.350000,nan,1.282598,1.350000,0.850000,nan,1.115203,1.350000,0.850000,nan,2.023971
2013-01-01 20:00:00,1.119937,1.120000,0.000061,1.500000,0.019849,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,0.588117,0.675174,0.850000,0.350000,nan,0.536930,0.850000,0.350000,nan,1.213862,1.350000,0.850000,nan,1.101324,1.350000,0.850000,nan,1.729485
2013-01-01 21:00:00,0.979945,0.980000,0.000061,1.000000,0.007919,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,0.382853,0.670593,0.850000,0.350000,nan,0.579935,0.850000,0.350000,nan,1.109866,1.350000,0.850000,nan,1.036289,1.350000,0.850000,nan,1.469532
