time,H_middle,H_upstream,Q_dam_middle,Q_dam_upstream,Q_in
2013-01-01 01:00:00,15.000000,20.000000,100.000000,100.000000,100.000000
2013-01-01 01:15:00,15.000000,19.999991,100.000083,100.001982,100.000000
2013-01-01 01:30:00,15.000000,19.999988,100.000229,100.002188,100.000000
2013-01-01 01:45:00,15.000000,19.999984,100.000476,100.002391,100.000000
2013-01-01 02:00:00,15.000000,19.999980,100.000802,100.002780,100.000000
2013-01-01 02:15:00,14.999999,19.999974,100.001174,100.003363,100.000000
2013-01-01 02:30:00,14.999999,19.999967,100.001581,100.004155,100.000000
2013-01-01 02:45:00,14.999999,19.999958,100.002039,100.005192,100.000000
2013-01-01 03:00:00,14.999999,19.999946,100.002580,100.006536,100.000000
2013-01-01 03:15:00,14.999998,19.999931,100.003245,100.008267,100.000000
2013-01-01 03:30:00,14.999998,19.999912,100.004077,100.010493,100.000000
2013-01-01 03:45:00,14.999997,19.999887,100.005129,100.013346,100.000000
2013-01-01 04:00:00,14.999997,19.999856,100.006462,100.016995,100.000000
2013-01-01 04:15:00,14.999996,19.999816,100.008160,100.021656,100.000000
2013-01-01 04:30:00,14.999995,19.999765,100.010333,100.027603,100.000000
2013-01-01 04:45:00,14.999994,19.999700,100.013126,100.035183,100.000000
2013-01-01 05:00:00,14.999992,19.999618,100.016717,100.044836,100.000000
2013-01-01 05:15:00,14.999989,19.999512,100.021327,100.057120,100.000000
2013-01-01 05:30:00,14.999986,19.999379,100.027227,100.072741,100.000000
2013-01-01 05:45:00,14.999982,19.999208,100.034761,100.092588,100.000000
2013-01-01 06:00:00,14.999976,19.998992,100.044365,100.117781,100.000000
2013-01-01 06:15:00,14.999969,19.998717,100.056600,100.149726,100.000000
2013-01-01 06:30:00,14.999959,19.998368,100.072171,100.190186,100.000000
2013-01-01 06:45:00,14.999947,19.997925,100.091971,100.241357,100.000000
2013-01-01 07:00:00,14.999931,19.997366,100.117123,100.305968,100.000000
2013-01-01 07:15:00,14.999910,19.996658,100.149032,100.387391,100.000000
2013-01-01 07:30:00,14.999882,19.995765,100.189455,100.489762,100.000000
2013-01-01 07:45:00,14.999847,19.994640,100.240577,100.618126,100.000000
2013-01-01 08:00:00,14.999801,19.993227,100.305099,100.778566,100.000000
2013-01-01 08:15:00,14.999742,19.991456,100.386344,100.978351,100.000000
2013-01-01 08:30:00,14.999666,19.989244,100.488361,101.226043,100.000000
2013-01-01 08:45:00,14.999569,19.986492,100.616049,101.531573,100.000000
2013-01-01 09:00:00,14.999444,19.983081,100.775268,101.906245,100.000000
2013-01-01 09:15:00,14.999286,19.978875,100.972944,102.362636,100.000000
2013-01-01 09:30:00,14.999085,19.973716,101.217142,102.914351,100.000000
2013-01-01 09:45:00,14.998831,19.967426,101.517106,103.575616,100.000000
2013-01-01 10:00:00,14.998511,19.959808,101.883214,104.360674,100.000000
2013-01-01 10:15:00,14.998110,19.950650,102.326866,105.282986,100.000000
2013-01-01 10:30:00,14.997611,19.939725,102.860250,106.354269,100.000000
2013-01-01 10:45:00,14.996992,19.926801,103.496001,107.583439,100.000000
2013-01-01 11:00:00,14.996228,19.911649,104.246742,108.975553,100.000000
2013-01-01 11:15:00,14.995291,19.894043,105.124521,110.530914,100.000000
2013-01-01 11:30:00,14.994146,19.873778,106.140202,112.244491,100.000000
2013-01-01 11:45:00,14.992754,19.850667,107.302838,114.105843,100.000000
2013-01-01 12:00:00,14.991070,19.824553,108.619129,116.099607,100.000000
2013-01-01 12:15:00,14.989044,19.795305,110.093042,118.206403,100.000000
2013-01-01 12:30:00,14.986615,19.762825,111.725698,120.403662,100.000000
2013-01-01 12:45:00,14.983716,19.727050,113.515655,122.665589,100.000000
2013-01-01 13:00:00,14.980262,19.687964,115.459681,124.962048,100.000000
2013-01-01 13:15:00,14.976150,19.645602,117.554134,127.260116,100.000000
2013-01-01 13:30:00,14.971240,19.599932,119.796984,129.548292,100.000000
